"index","Store_ID","Date","Dept","Weekly_Sales"
0,1,"2010-02-05",1,24924.5
1,1,"2010-02-05",26,11737.12
2,1,"2010-02-05",17,13223.76
3,1,"2010-02-05",45,37.44
4,1,"2010-02-05",28,1085.29
5,1,"2010-02-05",79,46729.77
6,1,"2010-02-05",55,21249.31
7,1,"2010-02-05",5,32229.38
8,1,"2010-02-05",58,7659.97
9,1,"2010-02-05",7,null
10,1,"2010-02-05",83,null
11,1,"2010-02-05",9,null
12,1,"2010-02-05",87,null
13,1,"2010-02-05",34,null
14,1,"2010-02-05",19,1947.05
15,1,"2010-02-05",52,3508.04
16,1,"",74,12251.94
17,1,"",38,115564.35
18,1,"",93,64494.87
19,1,"",23,24146.49
20,1,"",16,10217.55
21,1,"2010-02-05",95,106690.06
22,1,"2010-02-05",2,50605.27
23,1,"2010-02-05",27,2293
24,1,"2010-02-05",51,1.16
25,1,"2010-02-05",4,39954.04
26,1,"2010-02-05",80,15694.17
27,1,"2010-02-05",29,7024.95
28,1,"2010-02-05",56,2567.36
29,1,"2010-02-05",31,3455.92
30,1,"2010-02-05",33,8589.77
31,1,"2010-02-05",8,40129.01
32,1,"2010-02-05",85,3825.78
33,1,"2010-02-05",67,8414.14
34,1,"2010-02-05",46,20837.77
35,1,"2010-02-05",90,76419.47
36,1,"2010-02-05",12,8449.54
37,1,"2010-02-05",54,439
38,1,"2010-02-05",14,19466.91
39,1,"2010-02-05",94,56655.39
40,1,"2010-02-05",97,32153.04
41,1,"2010-02-05",42,8366.71
42,1,"2010-02-05",49,11501.46
43,1,"2010-02-05",47,70
44,1,"2010-02-05",91,62424.14
45,1,"2010-02-05",3,13740.12
46,1,"2010-02-05",21,8907.63
47,1,"2010-02-05",32,11875.84
48,1,"2010-02-05",81,30052.75
49,1,"2010-02-05",30,5491
50,1,"2010-02-05",44,4674.75
51,1,"2010-02-05",36,120
52,1,"2010-02-05",48,814
53,1,"2010-02-05",22,13623.98
54,1,"2010-02-05",60,1416.8
55,1,"2010-02-05",35,2770
56,1,"2010-02-05",24,8272.9
57,1,"2010-02-05",82,19484.03
58,1,"2010-02-05",13,41969.29
59,1,"2010-02-05",40,66780.63
60,1,"2010-02-05",25,11609.5
61,1,"2010-02-05",10,30721.5
62,1,"2010-02-05",18,4729.5
63,1,"2010-02-05",59,1409.34
64,1,"2010-02-05",41,1011.83
65,1,"2010-02-05",20,5034.1
66,1,"2010-02-05",37,3438.16
67,1,"2010-02-05",72,98499.12
68,1,"2010-02-05",92,139884.94
69,1,"2010-02-05",71,5421.14
70,1,"2010-02-05",11,24213.18
71,1,"2010-02-05",6,5749.03
72,1,"2010-02-05",98,10891.37
73,1,"2010-02-12",3,10887.84
74,1,"2010-02-12",79,36080.86
75,1,"2010-02-12",46,18826.47
76,1,"",13,36476.4
77,1,"",17,13403.66
78,1,"",23,22812.41
79,1,"",87,39254.57
80,1,"",4,35351.21
81,1,"",85,4994.64
82,1,"",7,18310.31
83,1,"2010-02-12",45,34.47
84,1,"2010-02-12",6,9135
85,1,"2010-02-12",14,18129.02
86,1,"2010-02-12",60,1003.2
87,1,"2010-02-12",21,8735.83
88,1,"2010-02-12",55,18892.81
89,1,"2010-02-12",11,21760.75
90,1,"2010-02-12",28,1008.36
91,1,"2010-02-12",98,16309.73
92,1,"2010-02-12",32,14700.59
93,1,"2010-02-12",5,29620.81
94,1,"2010-02-12",9,16562.49
95,1,"2010-02-12",29,7696.61
96,1,"2010-02-12",49,16139.05
97,1,"2010-02-12",80,16720.84
98,1,"2010-02-12",82,20949.36
99,1,"2010-02-12",93,70202.02
